COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Qatar,QAT,EMRO,REPORTING,11/1/2022,7592322,2847595,263.526,98.839,2847594,98.839,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",,10,1897133,65.849
Republic of Korea,KOR,WPRO,REPORTING,9/30/2022,130834289,45113628,255.191,87.994,44678807,87.146,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2/26/2021,5,33600655,65.538
Republic of Moldova,MDA,EURO,REPORTING,9/18/2022,2241785,1101302,55.6,27.301,1071341,26.558,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3/3/2021,7,370563,9.186
Romania,ROU,EURO,REPORTING,10/16/2022,16083871,8183574,83.2,42.339,8136562,42.095,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/27/2021,4,1761712,9.114
Russian Federation,RUS,EURO,OWID,10/31/2022,179202586,85406305,122.8,58.524,77321901,52.984,"SRCVB - EpiVacCorona, Gamaleya - Sputnik V",,2,,
Rwanda,RWA,AFRO,REPORTING,10/23/2022,26106436,9547259,201.56,73.711,8962371,69.196,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/5/2021,7,5562376,42.945
Saba,XCA,AMRO,REPORTING,10/28/2022,4471,1687,231.298,87.274,1657,85.722,,,,1127,58.303
Saint Helena,SHN,AFRO,OWID,5/5/2021,7892,4361,129.995,71.833,3531,58.162,AstraZeneca - AZD1222,,1,,
Saint Kitts and Nevis,KNA,AMRO,REPORTING,10/28/2022,64225,33794,120.742,63.532,26944,50.654,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield",2/22/2021,3,3465,6.514
Saint Lucia,LCA,AMRO,REPORTING,10/28/2022,122977,60140,66.971,32.751,54971,29.936,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2/17/2021,5,7866,4.284
Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,10/28/2022,72941,37311,65.748,33.632,31433,28.333,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,SII - Covishield",2/1/2021,5,4197,3.783
Samoa,WSM,WPRO,REPORTING,9/26/2022,440413,191071,221.967,96.299,177489,89.454,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",4/18/2021,2,71853,36.214
San Marino,SMR,EURO,REPORTING,5/22/2022,69338,26357,204.3,76.501,23633,68.595,"Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",2/24/2021,2,19348,56.158
Sao Tome and Principe,STP,AFRO,REPORTING,10/23/2022,227603,127410,103.853,58.136,103508,47.23,"AstraZeneca - Vaxzevria,SII - Covishield",3/15/2021,2,32393,14.781
Saudi Arabia,SAU,EMRO,REPORTING,10/27/2022,67979420,26918732,195.265,77.322,25320917,72.732,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/6/2021,10,15739771,45.211
Senegal,SEN,AFRO,REPORTING,10/23/2022,2469499,1732282,14.749,10.346,1263032,7.543,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2/23/2021,3,591916,3.535
